pertSize,reactionTime,initialResponse,subID,blockNo,speed,leftResponse,rightResponse,noResponse
-150,1.38600616895565,1,3,5,0,0,1,0
-100,1.199001490706,-1,3,5,0,1,0,0
-25,2.6730071426573,1,3,5,0,0,1,0
50,3.98500555276405,1,3,5,0,0,1,0
200,1.96000133633061,-1,3,5,0,1,0,0
-150,1.30000035679404,1,3,5,0,0,1,0
-300,1.13700659668393,1,3,5,0,0,1,0
25,2.16200368439604,-1,3,5,0,1,0,0
0,3.07700587940053,1,3,5,0,0,1,0
300,0.718008298630593,-1,3,5,0,1,0,0
-50,3.72400332117104,1,3,5,0,0,1,0
100,1.31100260162202,-1,3,5,0,1,0,0
0,4.53200722133624,-1,3,5,0,1,0,0
-200,1.33400486266328,1,3,5,0,0,1,0
150,1.44900544166012,-1,3,5,0,1,0,0
100,2.1540046359296,-1,3,5,0,1,0,0
200,2.55799945366016,-1,3,5,0,1,0,0
0,4.16599436688557,1,3,5,0,0,1,0
-100,2.1750019571773,1,3,5,0,0,1,0
50,1.85400038337684,-1,3,5,0,1,0,0
-300,0.544995600699622,1,3,5,0,0,1,0
0,3.07499570107029,1,3,5,0,0,1,0
-25,4.63200062632677,-1,3,5,0,1,0,0
300,0.704002953047166,-1,3,5,0,1,0,0
150,0.968001829147397,-1,3,5,0,1,0,0
-200,0.430000814558298,1,3,5,0,0,1,0
-50,2.72200025129132,1,3,5,0,0,1,0
25,3.29100044417282,-1,3,5,0,1,0,0
100,1.36000347518711,-1,3,5,0,1,0,0
150,1.06399461888941,-1,3,5,0,1,0,0
-200,0.651000269412179,1,3,5,0,0,1,0
0,2.79099609923287,1,3,5,0,0,1,0
100,2.64300036012719,-1,3,5,0,1,0,0
-50,2.36300189149188,1,3,5,0,0,1,0
300,1.02300105070753,-1,3,5,0,1,0,0
0,2.69200251268921,1,3,5,0,0,1,0
25,5.29600110220781,1,3,5,0,0,1,0
-300,0.609999683976639,1,3,5,0,0,1,0
-150,2.29099612557911,1,3,5,0,0,1,0
200,1.17999904727913,-1,3,5,0,1,0,0
50,7.42899998652865,1,3,5,0,0,1,0
-25,4.84799990892498,1,3,5,0,0,1,0
-100,1.64100068974221,1,3,5,0,0,1,0
